Jogadores;Premiados;1º Lugar;2º Lugar;3º Lugar;4º Lugar;5º Lugar;6º Lugar;7º Lugar;8º Lugar
4;3;1.79;1.29;0.92;;;;;
5;3;2.23;1.61;1.16;;;;;
6;3;2.68;1.93;1.39;;;;;
7;4;2.68;1.93;1.39;1.0;;;;
8;4;3.06;2.21;1.59;1.14;;;;
9;5;3.12;2.25;1.62;1.17;0.84;;;
10;5;3.47;2.5;1.8;1.3;0.93;;;
11;6;3.58;2.58;1.85;1.34;0.96;0.69;;
12;6;3.9;2.81;2.02;1.46;1.05;0.76;;
13;7;4.05;2.91;2.1;1.51;1.09;0.78;0.56;
14;7;4.36;3.14;2.26;1.62;1.17;0.84;0.61;
15;8;4.53;3.26;2.35;1.69;1.22;0.87;0.63;0.45
16;8;4.83;3.48;2.5;1.8;1.3;0.93;0.67;0.49
17;8;5.13;3.69;2.66;1.92;1.38;0.99;0.72;0.51
18;8;5.43;3.91;2.82;2.03;1.46;1.05;0.76;0.54
19;8;5.73;4.13;2.97;2.14;1.54;1.11;0.8;0.58
20;8;6.04;4.35;3.13;2.25;1.62;1.17;0.84;0.6
21;8;6.34;4.56;3.28;2.37;1.7;1.23;0.88;0.64
22;8;6.64;4.78;3.44;2.48;1.78;1.28;0.93;0.67
23;8;6.94;5.0;3.6;2.59;1.86;1.34;0.97;0.7
24;8;7.24;5.22;3.75;2.7;1.95;1.4;1.01;0.73
25;8;7.54;5.43;3.91;2.82;2.03;1.46;1.05;0.76
26;8;7.84;5.65;4.07;2.93;2.11;1.52;1.09;0.79
27;8;8.15;5.87;4.22;3.04;2.19;1.58;1.13;0.82
28;8;8.45;6.08;4.38;3.15;2.27;1.64;1.18;0.85
29;8;8.75;6.3;4.54;3.27;2.35;1.69;1.22;0.88
30;8;9.06;6.52;4.69;3.38;2.43;1.75;1.26;0.91
31;8;9.36;6.74;4.85;3.49;2.51;1.81;1.3;0.94
32;8;9.66;6.95;5.01;3.6;2.59;1.87;1.35;0.97
